monthYear,month,levelCrookedLakeCount,levelCrookedLake,,rainfallFinal,rainfallFinal1,rainfallFinal2,rainfallFinal3,rainfallFinal4,rainfallFinal5,rainfallFinal6,rainfallFinal7,rainfallFinal8,rainfallFinal9,rainfallFinal10,rainfallFinal11,rainfallFinal12,rainfallFinal13,rainfallFinal14,rainfallFinal15,rainfallFinal16,rainfallFinal17,rainfallFinal18,rainfallFinal19,rainfallFinal20,rainfallFinal21,rainfallFinal22,rainfallFinal23,rainfallFinal24,rainfallFinal25,rainfallFinal26,rainfallFinal27,rainfallFinal28,rainfallFinal29,rainfallFinal30,rainfallFinal31,rainfallFinal32,rainfallFinal33,rainfallFinal34,rainfallFinal35,rainfallFinal36,rainfallFinal37,rainfallFinal38,rainfallFinal39,rainfallFinal40,rainfallFinal41,rainfallFinal42,rainfallFinal43,rainfallFinal44,rainfallFinal45,rainfallFinal46,rainfallFinal47,rainfallFinal48,rainfallFinal49,rainfallFinal50,rainfallFinal51,rainfallFinal52,rainfallFinal53,rainfallFinal54,rainfallFinal55,rainfallFinal56,rainfallFinal57,rainfallFinal58,rainfallFinal59,rainfallFinal60,rainfallFinal61,rainfallFinal62,rainfallFinal63,rainfallFinal64,rainfallFinal65,rainfallFinal66,rainfallFinal67,rainfallFinal68,rainfallFinal69,rainfallFinal70
11/1/1940,11,,,,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59,1.67,5.52,8.35,5.13,2.39,1.05,2.99,11.35,9.93,7.4,6.87,2.87,6.03,0.81,1.15,0.41
12/1/1940,12,,,,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59,1.67,5.52,8.35,5.13,2.39,1.05,2.99,11.35,9.93,7.4,6.87,2.87,6.03,0.81,1.15
1/1/1941,1,,,,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59,1.67,5.52,8.35,5.13,2.39,1.05,2.99,11.35,9.93,7.4,6.87,2.87,6.03,0.81
2/1/1941,2,,,,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59,1.67,5.52,8.35,5.13,2.39,1.05,2.99,11.35,9.93,7.4,6.87,2.87,6.03
3/1/1941,3,,,,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59,1.67,5.52,8.35,5.13,2.39,1.05,2.99,11.35,9.93,7.4,6.87,2.87
4/1/1941,4,,,,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59,1.67,5.52,8.35,5.13,2.39,1.05,2.99,11.35,9.93,7.4,6.87
5/1/1941,5,,,,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59,1.67,5.52,8.35,5.13,2.39,1.05,2.99,11.35,9.93,7.4
6/1/1941,6,,,,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59,1.67,5.52,8.35,5.13,2.39,1.05,2.99,11.35,9.93
7/1/1941,7,,,,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59,1.67,5.52,8.35,5.13,2.39,1.05,2.99,11.35
8/1/1941,8,,,,3.11,15.2,9.52,1.04,4.73,2.92,3.02,4.01,4.43,0.1,0.68,9.94,4.02,11.76,8.43,5.3,1.54,3.58,3.66,3.83,0.61,0.5,4.63,6.22,19.85,8.22,7.91,5.85,4.66,1.34,1.2,1.52,0.19,2.5,6.44,2.81,4.24,8.13,4.64,3.43,0.42,1.45,1.43,1.44,0.87,5.44,6.47,6.47,6.27,5.29,2.9,1.65,4.06,3.31,5.13,2.63,2.14,1.07,3.87,9.99,7.99,2.41,10.87,2.59,1.67,5.52,8.35,5.13,2.39,1.05,2.99
